,month_name,year,query_count,query_text,month
0,January,2014,223,ebid,
1,January,2014,112,property maps,
2,January,2014,97,maps,
3,January,2014,90,property tax,
4,January,2014,76,jobs,
5,January,2014,75,employment,
6,January,2014,73,human resources,
7,January,2014,62,police,
8,January,2014,61,criminal court clerk,
9,January,2014,53,media releases,
10,January,2014,50,property taxes,
11,January,2014,49,gis,
12,January,2014,46,animal control,
13,January,2014,46,traffic signal optimization study,
14,January,2014,46,arrest records,
15,January,2014,45,property assessor,
16,January,2014,44,ess,
17,January,2014,41,water,
18,January,2014,41,zoning,
19,January,2014,37,codes,
20,January,2014,35,criminal court,
21,January,2014,35,inside metro,
22,January,2014,33,parking,
23,January,2014,30,employee self service,
24,January,2014,29,library,
25,January,2014,29,bidding,
26,January,2014,28,accident report,
27,January,2014,28,planning,
28,January,2014,28,pump station,
29,January,2014,27,payroll,
30,January,2014,27,google,
31,January,2014,27,property,
32,January,2014,26,register of deeds,
33,January,2014,26,news media,
34,January,2014,26,traffic management study,
35,January,2014,26,business license,
36,January,2014,25,warrants,
37,January,2014,25,permits,
38,January,2014,25,civil service rules,
39,January,2014,24,inmate search,
40,January,2014,24,civil service,
41,January,2014,24,media release,
42,January,2014,23,careers,
43,January,2014,23,arrests,
44,January,2014,23,police department,
45,January,2014,22,associated bond,
46,January,2014,22,procurement,
47,January,2014,22,employment opportunities,
48,January,2014,22,public works,
49,January,2014,22,mugshots,
50,January,2014,21,auction,
51,January,2014,21,im,
52,January,2014,20,traffic school,
53,January,2014,20,sulphur dell,
54,January,2014,20,web pro,
55,January,2014,20,forms,
56,January,2014,19,property records,
57,January,2014,19,health department,
58,January,2014,19,Obstructions in the street,
59,January,2014,18,Ebid,
60,January,2014,18,public records,
61,January,2014,18,kiva,
62,January,2014,18,building permits,
63,January,2014,18,tax assessor,
64,January,2014,18,Media releases,
65,January,2014,18,leash law,
66,January,2014,18,housing,
67,January,2014,18,rfp,
68,January,2014,17,Jobs,
69,January,2014,17,booking,
70,January,2014,17,stormwater,
71,January,2014,17,courts,
72,January,2014,17,iprocurement,
73,January,2014,17,assessor,
74,January,2014,17,Police,
75,January,2014,17,birth certificate,
76,January,2014,17,police reports,
77,January,2014,16,metro action commission,
78,January,2014,16,recycling,
79,January,2014,16,metro water,
80,January,2014,16,metro pay plan,
81,January,2014,16,its,
82,January,2014,16,community education,
83,January,2014,15,holidays,
84,January,2014,15,popular restaurants,
85,January,2014,15,backflow,
86,January,2014,15,marriage license,
87,January,2014,15,job openings,
88,January,2014,15,police report,
89,January,2014,15,fiber optic design,
90,January,2014,15,trustee,
91,January,2014,15,increment,
92,January,2014,14,cemetery,
93,January,2014,14,bids,
94,January,2014,14,pedestrian bridges,
95,January,2014,14,zoning map,
96,January,2014,14,email,
97,January,2014,14,Property taxes,
98,January,2014,14,budget,
99,January,2014,14,traffic,
100,January,2014,14,criminal report,
101,January,2014,13,development tracker,
102,January,2014,13,traffic incident,
103,January,2014,13,directory,
104,January,2014,13,8.12.020,
105,January,2014,13,assessor of property,
106,January,2014,13,Ice skating,
107,January,2014,13,utility work,
108,January,2014,13,parks,
109,January,2014,13,internet crimes against children,
110,January,2014,13,purchasing,
111,January,2014,13,metro maps,
112,January,2014,13,Animal control,
113,January,2014,13,pay plan,
114,January,2014,13,ben west library,
115,January,2014,13,mugshot,
116,January,2014,13,arrest,
117,January,2014,13,accident reports,
118,January,2014,13,water services,
119,January,2014,12,Property tax,
120,January,2014,12,Steve Anderson,
121,January,2014,12,planning department,
122,January,2014,12,pay scale,
123,January,2014,12,benefits,
124,January,2014,12,impound auction,
125,January,2014,12,food stamps,
126,January,2014,12,bond reductions,
127,January,2014,12,e bid,
128,January,2014,12,Maps,
129,January,2014,12,downtown code,
130,January,2014,12,Metro electrical license,
131,January,2014,12,metro contracts,
132,January,2014,12,ess.nashville.gov,
133,January,2014,12,metro action,
134,January,2014,12,standby note purchase agreement,
135,January,2014,11,court forms,
136,January,2014,11,county clerk,
137,January,2014,11,Douglas head start,
138,January,2014,11,sheriff department,
139,January,2014,11,finance,
140,January,2014,11,hr,
141,January,2014,11,sulpher dell,
142,January,2014,11,arrest records by name,
143,January,2014,11,BIO RETENTION PLANTING,
144,January,2014,11,victims compensation,
145,January,2014,11,criminal search,
146,January,2014,11,japan,
147,January,2014,11,property assessment,
148,January,2014,11,ebid.nashville.gov,
149,January,2014,11,fmla,
150,January,2014,11,internship,
151,January,2014,11,mnps,
152,January,2014,10,ice skating,
153,January,2014,10,nondiscrimination,
154,January,2014,10,beer board,
155,January,2014,10,10 most wanted,
156,January,2014,10,parthenon,
157,January,2014,10,court,
158,January,2014,10,online applications,
159,January,2014,10,animal shelter,
160,January,2014,10,notary,
161,January,2014,10,EBID,
162,January,2014,10,okinawa japan,
163,January,2014,10,car auctions,
164,January,2014,10,fire department,
165,January,2014,10,license renewal,
166,January,2014,10,metro holidays,
167,January,2014,10,BIORETENTION,
168,January,2014,10,warrant,
169,January,2014,10,map,
170,January,2014,10,metro water services,
171,January,2014,10,police media release,
172,January,2014,10,homicide victims,
